timestamp,velocity_x,velocity_y,velocity_z,acceleration_x,acceleration_y,acceleration_z,location_x,location_y,location_z,rotation_pitch,rotation_yaw,rotation_roll
0.04000,-0.00000092,0.00000274,-0.03223073,-0.00004,0.00010,-1.06663,13.19999981,-318.70001221,0.01946255,0.00200125,127.14996338,0.00000000
0.05000,-0.00000130,0.00000344,-0.04083417,-0.00004,0.00007,-0.86034,13.19999981,-318.70001221,0.01905460,0.00189196,127.14994812,-0.00000000
0.06000,-0.00000113,0.00000428,-0.04765467,0.00002,0.00008,-0.68205,13.19999981,-318.70001221,0.01857845,0.00189196,127.14994812,-0.00000000
0.07000,-0.00000136,0.00000459,-0.05294095,-0.00002,0.00003,-0.52863,13.20000076,-318.70001221,0.01804935,0.00176902,127.14994812,-0.00000000
0.08000,-0.00000146,0.00000480,-0.05691256,-0.00001,0.00002,-0.39716,13.20000076,-318.70001221,0.01748062,0.00176902,127.14994812,-0.00000000
0.09000,-0.00000147,0.00000497,-0.05975903,-0.00000,0.00002,-0.28465,13.20000076,-318.70001221,0.01688343,0.00163242,127.14994812,0.00000000
0.10000,-0.00000145,0.00000505,-0.06165214,0.00000,0.00001,-0.18931,13.20000076,-318.70001221,0.01626736,0.00163242,127.14994812,0.00000000
0.11000,-0.00000145,0.00000506,-0.06273525,-0.00000,0.00000,-0.10831,13.20000172,-318.70001221,0.01564037,0.00149581,127.14994812,-0.00003052
0.12000,-0.00000204,0.00000453,-0.06313886,-0.00006,-0.00005,-0.04036,13.20000172,-318.70001221,0.01500942,0.00149581,127.14994812,-0.00003052
0.13000,-0.00000265,0.00000397,-0.06297517,-0.00006,-0.00006,0.01637,13.20000172,-318.70001221,0.01438003,0.00135921,127.14994812,-0.00003052
0.14000,-0.00000332,0.00000335,-0.06234144,-0.00007,-0.00006,0.06337,13.20000172,-318.70001221,0.01375706,0.00135921,127.14994812,-0.00003052
0.15000,-0.00000375,0.00000289,-0.06132123,-0.00004,-0.00005,0.10202,13.20000172,-318.70001221,0.01314423,0.00122260,127.14994812,-0.00003052
0.16000,-0.00000367,0.00000269,-0.05999024,0.00001,-0.00002,0.13310,13.20000362,-318.70001221,0.01254471,0.00122260,127.14994812,-0.00003052
0.17000,-0.00000344,0.00000268,-0.05841035,0.00002,-0.00000,0.15799,13.20000362,-318.70001221,0.01196091,0.00110649,127.14994812,-0.00003052
0.18000,-0.00000372,0.00000230,-0.05663705,-0.00003,-0.00004,0.17733,13.20000362,-318.70001221,0.01139488,0.00110649,127.14994812,-0.00003052
0.19000,-0.00000408,0.00000186,-0.05471596,-0.00004,-0.00004,0.19211,13.20000362,-318.70001221,0.01084812,0.00099038,127.14994812,-0.00003052
0.20000,-0.00000427,0.00000158,-0.05268958,-0.00002,-0.00003,0.20264,13.20000362,-318.70001221,0.01032143,0.00099038,127.14994812,-0.00003052
0.21000,-0.00000409,0.00000154,-0.05058911,0.00002,-0.00000,0.21005,13.20000458,-318.70001221,0.00981583,0.00099038,127.14994812,-0.00003052
0.22000,-0.00000418,0.00000125,-0.04844432,-0.00001,-0.00003,0.21448,13.20000458,-318.70001221,0.00933178,0.00084694,127.14994812,-0.00003052
0.23000,-0.00000389,0.00000131,-0.04628205,0.00003,0.00001,0.21623,13.20000458,-318.70001221,0.00886913,0.00084694,127.14994812,-0.00003052
0.24000,-0.00000365,0.00000124,-0.04412018,0.00002,-0.00001,0.21619,13.20000458,-318.70001221,0.00842812,0.00084694,127.14994812,-0.00003052
0.25000,-0.00000360,0.00000109,-0.04197529,0.00000,-0.00001,0.21449,13.20000458,-318.70001221,0.00800865,0.00071717,127.14994812,-0.00003052
0.26000,-0.00000327,0.00000113,-0.03986335,0.00003,0.00000,0.21119,13.20000458,-318.70001221,0.00761021,0.00071717,127.14994812,-0.00003052
0.27000,-0.00000327,0.00000094,-0.03779333,-0.00000,-0.00002,0.20700,13.20000458,-318.70001221,0.00723248,0.00071717,127.14994812,-0.00003052
0.28000,-0.00000285,0.00000104,-0.03577745,0.00004,0.00001,0.20159,13.20000553,-318.70001221,0.00687489,0.00060789,127.14994812,-0.00003052
0.29000,-0.00000270,0.00000098,-0.03381961,0.00002,-0.00001,0.19578,13.20000553,-318.70001221,0.00653694,0.00060789,127.14994812,-0.00003052
0.30000,-0.00000245,0.00000097,-0.03192586,0.00002,-0.00000,0.18938,13.20000553,-318.70001221,0.00621788,0.00060789,127.14994812,-0.00003052
0.31000,-0.00000251,0.00000081,-0.03010206,-0.00001,-0.00002,0.18238,13.20000553,-318.70001221,0.00591698,0.00060789,127.14994812,-0.00003052
0.32000,-0.00000215,0.00000090,-0.02834945,0.00004,0.00001,0.17526,13.20000553,-318.70001221,0.00563366,0.00049177,127.14994812,-0.00006104
0.33000,-0.00000214,0.00000079,-0.02666920,0.00000,-0.00001,0.16803,13.20000553,-318.70001221,0.00536709,0.00049177,127.14994812,-0.00006104
0.34000,-0.00000199,0.00000075,-0.02506385,0.00001,-0.00000,0.16053,13.20000553,-318.70001221,0.00511661,0.00049177,127.14994812,-0.00006104
0.35000,-0.00000184,0.00000072,-0.02353287,0.00001,-0.00000,0.15310,13.20000553,-318.70001221,0.00488144,0.00049177,127.14994812,-0.00006104
0.36000,-0.00000180,0.00000065,-0.02207503,0.00000,-0.00001,0.14578,13.20000553,-318.70001221,0.00466076,0.00049177,127.14994812,-0.00006104
0.37000,-0.00000171,0.00000059,-0.02069045,0.00001,-0.00001,0.13846,13.20000553,-318.70001221,0.00445393,0.00038249,127.14994812,-0.00006104
