timestamp,velocity_x,velocity_y,velocity_z,acceleration_x,acceleration_y,acceleration_z,location_x,location_y,location_z,rotation_pitch,rotation_yaw,rotation_roll
0.46000,-0.00000079,0.00000046,-0.01119029,0.00001,-0.00001,0.08191,13.20000744,-318.70001221,0.00310474,0.00026638,127.14994812,-0.00006104
0.47000,-0.00000079,0.00000043,-0.01042041,0.00000,-0.00000,0.07699,13.20000744,-318.70001221,0.00300064,0.00026638,127.14994812,-0.00006104
0.49000,-0.00000077,0.00000032,-0.00902358,0.00001,-0.00000,0.06758,13.20000744,-318.70001221,0.00281349,0.00026638,127.14994812,-0.00006104
0.50000,-0.00000084,0.00000025,-0.00839215,-0.00001,-0.00001,0.06314,13.20000744,-318.70001221,0.00272964,0.00026638,127.14994812,-0.00006104
0.51000,-0.00000081,0.00000021,-0.00780019,0.00000,-0.00000,0.05920,13.20000744,-318.70001221,0.00265171,0.00026638,127.14994812,-0.00006104
0.52000,-0.00000069,0.00000024,-0.00724768,0.00001,0.00000,0.05525,13.20000744,-318.70001221,0.00257927,0.00026638,127.14994812,-0.00006104
0.53000,-0.00000052,0.00000028,-0.00673096,0.00002,0.00000,0.05167,13.20000744,-318.70001221,0.00251205,0.00026638,127.14994812,-0.00006104
0.54000,-0.00000048,0.00000029,-0.00624978,0.00000,0.00000,0.04812,13.20000744,-318.70001221,0.00244961,0.00026638,127.14994812,-0.00006104
0.55000,-0.00000059,0.00000022,-0.00580028,-0.00001,-0.00001,0.04495,13.20000744,-318.70001221,0.00239166,0.00026638,127.14994812,-0.00006104
0.56000,-0.00000052,0.00000022,-0.00538079,0.00001,-0.00000,0.04195,13.20000744,-318.70001221,0.00233784,0.00015709,127.14994812,-0.00006104
0.57000,-0.00000040,0.00000028,-0.00498986,0.00001,0.00001,0.03909,13.20000744,-318.70001221,0.00228794,0.00015709,127.14994812,-0.00006104
0.59000,-0.00000046,0.00000018,-0.00428742,-0.00000,-0.00000,0.03381,13.20000744,-318.70001221,0.00219887,0.00015709,127.14994812,-0.00006104
0.60000,-0.00000039,0.00000016,-0.00397195,0.00001,-0.00000,0.03155,13.20000744,-318.70001221,0.00215923,0.00015709,127.14994812,-0.00006104
0.61000,0.00000000,0.00000000,0.00000000,0.00004,-0.00002,0.39719,13.20000744,-318.70001221,0.00215923,0.00015709,127.14994812,-0.00006104
0.62000,0.00000002,0.00000016,-0.00083258,0.00000,0.00002,-0.08326,13.20000744,-318.70001221,0.00215092,0.00015709,127.14994812,-0.00006104
0.63000,0.00000002,0.00000018,-0.00106435,-0.00000,0.00000,-0.02318,13.20000744,-318.70001221,0.00214027,0.00015709,127.14994812,-0.00006104
0.64000,0.00000003,0.00000020,-0.00125069,0.00000,0.00000,-0.01863,13.20000744,-318.70001221,0.00212776,0.00015709,127.14994812,-0.00006104
0.65000,-0.00428539,0.00143261,-0.00139401,-0.42854,0.14324,-0.01433,13.19995499,-318.70001221,0.00211426,0.00006147,127.14956665,-0.00042725
0.66000,-0.13151379,0.23161858,-0.00150406,-12.72284,23.01860,-0.01100,13.19856453,-318.69769287,0.00207603,0.00398200,127.13411713,0.00196443
0.67000,-0.21137206,0.35760796,-0.00157782,-7.98583,12.59894,-0.00738,13.19635201,-318.69418335,0.00203114,0.00897487,127.11476135,0.00435368
0.68000,-0.27368963,0.49126095,-0.00163342,-6.23176,13.36530,-0.00556,13.19346237,-318.68930054,0.00198299,0.01441170,127.08319092,0.00760966
0.69000,-0.38723066,0.68659431,-0.00166372,-11.35410,19.53334,-0.00303,13.18939209,-318.68252563,0.00192379,0.02167219,127.04301453,0.01124471
0.71000,-0.52079844,0.92471266,-0.00167257,-10.06848,17.05993,0.00056,13.17948341,-318.66601562,0.00181190,0.03501838,126.94104004,0.01755380
0.72000,-0.57627368,1.01912796,-0.00166001,-5.54752,9.44153,0.00126,13.17342472,-318.65597534,0.00175613,0.04169147,126.88101959,0.02020210
0.73000,-0.63198614,1.10540497,-0.00163077,-5.57125,8.62770,0.00292,13.16688156,-318.64501953,0.00170441,0.04775668,126.83628082,0.02213699
0.74000,-0.70263016,1.16699052,-0.00160028,-7.06440,6.15855,0.00305,13.15962505,-318.63348389,0.00165722,0.05307057,126.79232025,0.02185194
0.75000,-0.79796052,1.28988397,-0.00155665,-9.53304,12.28934,0.00436,13.15142345,-318.62072754,0.00160816,0.05880110,126.75103760,0.02125144
0.76000,-0.83290195,1.33921707,-0.00151052,-3.49414,4.93331,0.00461,13.14287090,-318.60745239,0.00156689,0.06325438,126.70819855,0.02070436
0.77000,-0.92078519,1.46727073,-0.00145900,-8.78832,12.80537,0.00515,13.13342667,-318.59289551,0.00152290,0.06826774,126.66276550,0.02038964
0.78000,-0.95795739,1.51640105,-0.00140614,-3.71722,4.91303,0.00529,13.12361145,-318.57788086,0.00148621,0.07214729,126.61738586,0.01975752
0.79000,-1.00562942,1.61624956,-0.00135314,-4.76720,9.98485,0.00530,13.11327457,-318.56188965,0.00145042,0.07591755,126.56003571,0.02045025
0.80000,-1.03929734,1.67531526,-0.00129856,-3.36679,5.90657,0.00546,13.10259533,-318.54531860,0.00142002,0.07890917,126.50122833,0.02099569
0.81000,-1.07454789,1.74811661,-0.00123769,-3.52505,7.28014,0.00609,13.09156418,-318.52804565,0.00139309,0.08140219,126.44184875,0.02194510
0.82000,-1.12300110,1.83147430,-0.00117925,-4.84532,8.33577,0.00584,13.08003712,-318.50991821,0.00136681,0.08387472,126.38011932,0.02290878
0.84000,-1.18404627,1.94712210,-0.00106611,-2.76436,5.93023,0.00602,13.05600548,-318.47198486,0.00132626,0.08704393,126.24802399,0.02440390
0.85000,-1.21909153,2.00533772,-0.00101088,-3.50453,5.82156,0.00552,13.04347897,-318.45214844,0.00131008,0.08808211,126.17716217,0.02493517
0.86000,-1.25065529,2.07100654,-0.00095936,-3.15638,6.56688,0.00515,13.03061295,-318.43170166,0.00129570,0.08892222,126.10093689,0.02580380
0.87000,-1.28237987,2.12332749,-0.00090178,-3.17246,5.23210,0.00576,13.01744080,-318.41073608,0.00128349,0.08946181,126.02738953,0.02623878
0.88000,-1.31253982,2.18608689,-0.00085661,-3.01600,6.27594,0.00452,13.00396252,-318.38912964,0.00127262,0.08985113,125.95194244,0.02694097
0.89000,-1.36357129,2.22211623,-0.00080507,-5.10315,3.60293,0.00515,12.98999596,-318.36712646,0.00126381,0.09000823,125.88387299,0.02568682
0.90000,-1.42761183,2.26183534,-0.00076010,-6.40405,3.97191,0.00450,12.97543812,-318.34472656,0.00125553,0.09010385,125.82819366,0.02280429
0.91000,-1.47917914,2.29305363,-0.00071313,-5.15673,3.12183,0.00470,12.96041584,-318.32196045,0.00124920,0.08998091,125.78379059,0.01918551
0.92000,-1.52733040,2.33975530,-0.00067000,-4.81513,4.67017,0.00431,12.94493484,-318.29873657,0.00124344,0.08981698,125.74408722,0.01582528
0.93000,-1.55521858,2.38393140,-0.00062849,-2.78882,4.41761,0.00415,12.92917252,-318.27502441,0.00123913,0.08944815,125.70202637,0.01354196
0.94000,-1.58427751,2.44123602,-0.00058786,-2.90589,5.73046,0.00406,12.91310406,-318.25076294,0.00123569,0.08906566,125.65577698,0.01236921
0.96000,-1.63956130,2.54136586,-0.00051657,-2.96495,5.55320,0.00376,12.88014126,-318.20086670,0.00123085,0.08802065,125.55760193,0.01143235
0.97000,-1.66551673,2.58491564,-0.00048627,-2.59554,4.35498,0.00303,12.86324406,-318.17520142,0.00122986,0.08738544,125.50640106,0.01133632
0.98000,-1.69512522,2.63943791,-0.00045552,-2.96085,5.45223,0.00307,12.84604454,-318.14898682,0.00122883,0.08680487,125.45321655,0.01156781
0.99000,-1.71993709,2.68319368,-0.00042258,-2.48119,4.37558,0.00329,12.82858944,-318.12234497,0.00122856,0.08611502,125.39904022,0.01183155
1.00000,-1.74861693,2.73756337,-0.00039392,-2.86798,5.43697,0.00287,12.81084156,-318.09515381,0.00122829,0.08550713,125.34295654,0.01233296
1.01000,-1.77365768,2.78129959,-0.00036879,-2.50407,4.37362,0.00251,12.79283905,-318.06753540,0.00122856,0.08480363,125.28617859,0.01275377
1.02000,-1.80273294,2.83549047,-0.00034484,-2.90753,5.41909,0.00239,12.77453804,-318.03936768,0.00122868,0.08420257,125.22789001,0.01331731
1.03000,-1.83177912,2.87774992,-0.00031908,-2.90462,4.22595,0.00258,12.75595188,-318.01080322,0.00122948,0.08353321,125.17080688,0.01350743
1.04000,-1.86314225,2.92875123,-0.00030253,-3.13631,5.10013,0.00165,12.73705006,-317.98168945,0.00122974,0.08295264,125.11381531,0.01368367
1.05000,-1.88953626,2.97156215,-0.00027425,-2.63940,4.28109,0.00283,12.71788406,-317.95217896,0.00123089,0.08229695,125.05664825,0.01378145
1.06000,-1.91830003,3.02104568,-0.00025792,-2.87638,4.94835,0.00163,12.69843006,-317.92214966,0.00123173,0.08168906,124.99939728,0.01394286
1.07000,-1.94337106,3.06427431,-0.00023991,-2.50710,4.32286,0.00180,12.67872143,-317.89172363,0.00123329,0.08104702,124.94123840,0.01409698
1.08000,-1.97014344,3.11202145,-0.00022260,-2.67724,4.77471,0.00173,12.65874481,-317.86077881,0.00123474,0.08041865,124.88301086,0.01431482
1.09000,-2.00141788,3.15122008,-0.00020863,-3.12744,3.91986,0.00140,12.63846207,-317.82949829,0.00123631,0.07976294,124.82701111,0.01402319
1.10000,-2.03180480,3.19429445,-0.00019358,-3.03869,4.30744,0.00150,12.61788464,-317.79772949,0.00123837,0.07912774,124.77323151,0.01362387
1.11000,-2.05922580,3.23538113,-0.00017855,-2.74210,4.10867,0.00150,12.59703541,-317.76556396,0.00124020,0.07846521,124.71971130,0.01321935
1.12000,-2.08624482,3.27844357,-0.00016603,-2.70190,4.30624,0.00125,12.57592010,-317.73294067,0.00124233,0.07782317,124.66703796,0.01289049
1.13000,-2.11157918,3.32025647,-0.00015247,-2.53344,4.18129,0.00136,12.55454922,-317.69992065,0.00124474,0.07715381,124.61398315,0.01265355
1.15000,-2.17134690,3.39843202,-0.00013300,-2.86162,3.92172,0.00077,12.51093197,-317.63269043,0.00124977,0.07582875,124.51562500,0.01142965
1.16000,-2.19856143,3.43859339,-0.00012258,-2.72145,4.01614,0.00104,12.48871708,-317.59844971,0.00125244,0.07517989,124.46833038,0.01085829
1.17000,-2.22444034,3.47884107,-0.00011388,-2.58789,4.02477,0.00087,12.46624565,-317.56381226,0.00125507,0.07451736,124.42144775,0.01039813
1.18000,-2.24948215,3.51942396,-0.00010413,-2.50418,4.05829,0.00097,12.44352627,-317.52880859,0.00125778,0.07387532,124.37478638,0.01006619
1.19000,-2.27376699,3.56002688,-0.00010046,-2.42848,4.06029,0.00037,12.42056370,-317.49334717,0.00126068,0.07321279,124.32807922,0.00985902
